full_address,org_name,province_name,longitude,latitude
"Москва, Новослободская улица, 16А",Surf Coffee,Москва,37.595806,55.779869
"Центральный федеральный округ, Москва и Московская область, Москва, Берсеневская Набережная, 14 ст8",Surf Coffee,Москва,37.605894,55.740015
"Москва, шоссе Энтузиастов, 1, корп. 2",Surf Coffee,Москва,37.684227,55.745397
"Москва, проспект Мира, 40",Surf Coffee,Москва,37.629655,55.77792
"Москва, Пресненская набережная, 10, стр. 2",Surf Coffee,Москва,37.530966,55.745306
"Москва, проспект Андропова, 27",Surf Coffee,Москва,37.661356,55.673991
"Москва, Мичуринский проспект, 5",Surf Coffee,Москва,37.506936,55.701161
"Москва, Новодмитровская улица, 1, стр. 12",Surf Coffee,Москва,37.579484,55.804825
"Москва, Новослободская улица, 2",Surf Coffee X Dream,Москва,37.597288,55.777272
"Москва, Щербинка, Пролетарская улица, 1/2",Surf Coffee,Москва,37.5425,55.490121
"Москва, улица Забелина, 2",Surf Coffee,Москва,37.633356,55.752242
"Москва, Холодильный переулок, 3",Surf Coffee,Москва,37.621291,55.706076
"Москва, улица Большая Якиманка, 9",Surf Coffee,Москва,37.611302,55.73738
"Москва, Гжатская улица, 5, корп. 8",Surf Coffee,Москва,37.43013,55.711661
"Москва, Киевская улица, 2",Surf Coffee X Sunrise,Москва,37.558616,55.741151
"Москва, Красная площадь, 1",Surf Coffee,Москва,37.613674,55.752931
"Москва, Инновационный центр Сколково, улица Малевича, 1",Surf Coffee,Москва,37.351779,55.694231
"Москва, 2-й Грайвороновский проезд",Surf Coffee X Saturn,Москва,37.733239,55.720124
"Москва, Кожевническая улица, 1, стр. 1","Surf coffee X rail, кофейня",Москва,37.637443,55.728586
"Москва, Никольская, 8/1",Surf Coffee,Москва,37.618938,55.754973
"Москва, улица Усачёва, 1, стр. 1",Surf Coffee,Москва,37.572252,55.727881
"Москва, Олимпийский проспект, 10",Surf Coffee X Wednesday,Москва,37.620833,55.77474
"Москва, Новомосковский административный округ, район Коммунарка, деревня Сосенки, Ясеневая улица, 3",Surf Coffee,Москва,37.438951,55.565992
"Москва, Электролитный проезд, 7",Surf coffee,Москва,37.605706,55.671108
"Москва, МКАД, 66-й километр, 1",Кофейня Surf coffee×Shore на метро Мякинино,Москва,37.378899,55.808164
"Москва, Дмитровское шоссе, 107А, корп. 1",Surf Coffee X Sever,Москва,37.535781,55.877188
"Москва, Складочная улица, 1, стр. 38",Surf Coffee,Москва,37.588539,55.798318
"Москва, улица Вавилова, 4","Surf Coffee X Alaia, кофейня",Москва,37.586149,55.706345
"Москва, улица Усачёва, 62, стр. 2",Surf Coffee,Москва,37.557807,55.722548
"Москва, Новомосковский административный округ, район Коммунарка, деревня Сосенки, Ясеневая улица, 4",Surf Coffee X Oak,Москва,37.439634,55.566384
"Москва, проспект Вернадского, 86А",Surf Coffee X Safari,Москва,37.476896,55.660704
"Москва, Новокузнецкая улица, 24с3А",Surf Coffee X Lagom,Москва,37.62793,55.733072
"Москва, проспект Вернадского, 41",Surf Coffee,Москва,37.499363,55.67227
"Москва, улица Михайлова, 30А, корп. 1",Surf Coffee,Москва,37.770394,55.722456
"Москва, Проектируемый проезд № 3631, 1",Кофейня Surf coffee X ogni,Москва,37.467158,55.694545
"Москва, улица Большая Якиманка, 50",Surf Coffee,Москва,37.607062,55.729868
"Москва, Олонецкая улица, 6",Surf Coffee,Москва,37.617033,55.853097
"Москва, Митинская улица, 29",Surf coffee X Jolly,Москва,37.353243,55.844637
"Москва, Красноказарменная улица, 14А, корп. 2",Surf Coffee X Le Fort,Москва,37.702867,55.750915
"Москва, бульвар Генерала Карбышева, 11",Surf Coffee,Москва,37.464733,55.778097
"Москва, 4-й Голутвинский переулок, 1",Surf Coffee,Москва,37.608697,55.736569
"Москва, Большой Сухаревский переулок, 25, стр. 1",Surf coffee,Москва,37.627939,55.768537
"Москва, Солянка, 1/2",Surf Coffee,Москва,37.633419,55.751715
"Москва, поселение Московский, Киевское шоссе, 23-й километр, 1",Surf Coffee,Москва,37.417931,55.621465
"Москва, Никольская улица, 10/2с2Б",Surf coffee,Москва,37.620959,55.756138
"Москва, Берсеневская набережная, 14с8",Surf Coffee,Москва,37.605912,55.740031
"Москва, Крымская наб., 2",Surf Coffee,Москва,37.601457,55.73182
"Москва, 8-й проезд Марьиной Рощи, 30, стр. 1",Surf Coffee,Москва,37.600424,55.799881
"Москва, Рочдельская улица, 15, стр. 35",Surf Coffee X Stitch,Москва,37.558436,55.754395
"Москва, Смоленская площадь, 5",Surf Coffee,Москва,37.57731,55.74597
"Москва, Мясницкая улица, 16",Surf Coffee,Москва,37.62837,55.75858
"Москва, улица Сущёвский Вал, 49",Surf Coffee,Москва,37.607673,55.791127
"Москва, Новочерёмушкинская улица, 17",Surf Coffee,Москва,37.57978,55.681179
"Москва, Нижняя Сыромятническая улица, 10, стр. 2","Surf coffee X Artplay, кофейня",Москва,37.667087,55.749932
"Москва, Ленинградский проспект, 36, стр. 38",Surf Coffee,Москва,37.563081,55.787158
"Москва, Пятницкий переулок, 3",Surf Coffee,Москва,37.626133,55.740816
"Москва, улица Покровка, 4, стр. 1",Surf Coffee X Lineup,Москва,37.636931,55.756234
"Москва, Большой Черкасский переулок, 2/10","Surf coffee X Nikola, кофейня",Москва,37.621121,55.75591
"Москва, Усачёва улица, 3",Surf Coffee,Москва,37.571345,55.727511
"Москва, улица Авиаконструктора Миля, 3А",Surf Coffee X Picture Disc,Москва,37.847838,55.684468
"Москва, парк искусств Музеон",Surf Coffee,Москва,37.601825,55.732418
"Москва, Нижняя Сыромятническая улица, 10",Surf Coffee,Москва,37.664788,55.75035199999374
"Москва, Холодильный переулок, 3к1",Surf Coffee X Umka,Москва,37.623699,55.708861
"Москва, улица Красная Пресня, 28",Surf Coffee,Москва,37.564527,55.759952
"Москва, Красная площадь, 9",Surf coffee,Москва,37.615668,55.75129
"Москва, Олимпийский проспект, 12",Surf Coffee X Wednesday,Москва,37.617842,55.775353
"Москва, улица Маргелова, 3, корп. 3",Surf Coffee,Москва,37.53694,55.775201
"Москва, проспект Академика Сахарова, 7",Surf Coffee,Москва,37.639662,55.768831
"Москва, улица Крымский Вал, 9с45",Surf Coffee X Most Pg,Москва,37.596785,55.730274
"Москва,  ул. Новый Арбат, 7 А",Surf Coffee,Москва,37.593363,55.750043
"Москва, 2-й Грайвороновский проезд, 44, корп. 3",Surf Coffee,Москва,37.745618,55.72454
"Москва, Тверская улица, 25/12",Surf Coffee X Mayak,Москва,37.595141,55.765427
"Москва, Волоколамское шоссе, 71, корп. 1",Surf Coffee,Москва,37.427965,55.820096
"Москва, Стремянный переулок, 2",Surf Coffee,Москва,37.632332,55.726517
"Москва, Пушечная улица, 7/5с2",Surf Coffee,Москва,37.618776,55.75859
"Москва, Ленинградское шоссе, 16А, стр. 4",Кофейня Surf Coffee X Swallow,Москва,37.493362,55.820905
"Москва, улица Грузинский Вал, 7",Surf Coffee X Tinkoff,Москва,37.572728,55.771788
"Москва, проспект Андропова, 18к1соор1","Surf coffee X tech, кофейня",Москва,37.660485,55.692404
"Москва, ул. Нижняя Сыромятническая, 10,  стр. 2 А",Surf Coffee,Москва,37.667087,55.749932
"Москва, Болотная набережная, 15, корп. 5",Surf Coffee,Москва,37.606694,55.739549
"Москва, Волгоградский проспект, 32/5к1",Surf Coffee,Москва,37.686581,55.717822
"Москва, Люблинская улица, 78, корп. 3",Surf Coffee,Москва,37.725487,55.659475
"Москва, улица Шаболовка, 56",Surf Coffee,Москва,37.601762,55.709997
"Москва, Нижняя Красносельская улица, 35, стр. 49",‪Surf Coffee X RedVillage‬,Москва,37.668013,55.773236
"Москва, проспект Андропова, 10",Surf Coffee,Москва,37.661572,55.691821
"Москва, Малая Бронная улица, 16",Surf Coffee X Patriki,Москва,37.592384,55.759334
"Москва, проспект Мира, 99",Surf Coffee X Homie,Москва,37.632628,55.808488
"Москва, Тестовская улица, 1",Surf Coffee X Mcc City,Москва,37.528594,55.745585
"Москва, 2-я Хуторская улица, 34",Surf Coffee,Москва,37.567042,55.803783
"Москва, улица Рождественка, 6/9/20с1",Surf Coffee X Dino,Москва,37.61971,55.759117
"Москва, Тестовская улица, 20, стр. 1",Surf Coffee кофейня,Москва,37.525926,55.746304
"Москва, 2-я Черногрязская улица, 6, корп. 1",Surf Coffee Х Bike,Москва,37.543048,55.758934
"Москва, Корабельная улица, 3А",Surf Coffee,Москва,37.69595,55.684239
"Москва, улица Усачёва, 3",Surf Coffee × East West,Москва,37.571345,55.727511
"Москва, улица Охотный Ряд, 2",Surf Coffee X Seasons,Москва,37.613009,55.754816
"Москва, Ильменский проезд, 14, корп. 3",Surf Coffee,Москва,37.541189,55.858357
"Москва, Варшавское шоссе, 150Б",Surf Coffee,Москва,37.597261,55.595216
"Москва, Стремянный переулок, 38",Surf Coffee X Meow,Москва,37.622836,55.724925
"Москва, улица Виктора Маслова, 2",Surf Coffee,Москва,37.652768,55.717117
"Москва, Конный переулок, 12",Surf Coffee X Secret Spot,Москва,37.607781,55.71908
"Москва, Измайловский проезд, 5А, подъезд 5",Surf Coffee X Pure,Москва,37.764231,55.796901
"Москва, Амурская улица, 1А, корп. 1",Surf Coffee X Amur,Москва,37.753748,55.805427
"Москва, Каширский проезд, 25, корп. 6",Surf Coffee X La Vida,Москва,37.623968,55.650947
"Москва, Ленинградский проспект, 29, корп. 2",Surf Coffee X King,Москва,37.557754,55.783645
"Москва, Кронштадтский бульвар, 6, корп. 1",Surf Coffee,Москва,37.489607,55.838774
"Москва, Русаковская улица, 22",Surf Coffee,Москва,37.67484,55.784207
"Москва, улица Нижние Мнёвники, 9",Surf Coffee X Trinity,Москва,37.450019,55.749577
"Москва, МКАД, 66-й километр, вл1",Surf Coffee X Shore,Москва,37.383858,55.818812
"Москва, Никольская улица, 4/5",Surf Coffee X Nikola,Москва,37.617204,55.753843
"Москва, улица Кузнецкий Мост, 7",Surf Coffee X Super Star,Москва,37.614985,55.759461
"Москва, Базовская улица, 15Б, корп. 1",Surf Coffee,Москва,37.50248,55.877536
"Москва, улица Новый Арбат, 2",Surf Coffee,Москва,37.595384,55.750905
"Москва, улица Новый Арбат, 7А",Surf Coffee,Москва,37.593354,55.750038
"Москва, Трубная улица, 26, корп. 1",Surf Coffee Х Pipe,Москва,37.62148,55.76842
